Content Category Type,Content Category,title,content file type,Lesson/ Chapter,description,thumb Image file name (must be unique) (with extension),content file name (must be unique) (with extension),is Published,view order,Tag 1,Tag 2,Tag 3,Tag 4
Pre-Primary,Amar  Boi,ব্যায়াম ৫ সৃজনশীল কাজ: গল্প-টিং এর কান্ড স্বর বর্ণেও ছড়া। পাঠ-১১,VIDEO, গল্প-টিং এর কান্ড ,বিভিন্ন শারীরিক কসরত করতে পারবে। ছোট ছোট গল্প শুনে নিজের মতো বলতে পারবে। ছড়া গান গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গি মাধ্যমে ছড়া কবিতা গল্প উপস্থাপনা করতে পারবে।  ,EP 11_Pre-Primary.png,"EP 11, Pre-Primary.mp4",Yes,11,Exercise 5,ব্যায়াম ৫ সৃজনশীল কাজ: গল্প-টিং এর কান্ড স্বর বর্ণেও ছড়া। পাঠ-১১,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম-৬ (ঘাড়ের ব্যায়াম ও ঘাড় নেড়ে), ভাষার কাজ ছবি পড়া -২, প্রাক গনেত সংখ্যা প্রতীক লেখা-১ পাঠ-৪",VIDEO,সংখ্যার ধারণা সংখ্যা প্রতীক ১,"বিভিন্ন শারীরিক কসরত করতে পারবে। পরিচিত বস্ত, ছবি বা দৃশ্যপট সম্পর্কে বলতে পারবে। সংখ্যা প্রতীক (১) চিনতে ও বলতে পারবে।",EP 12_Pre-Primary.png,"EP 12, Pre-Primary.mp4",Yes,12,Exercise 6,"ব্যায়াম-৬ (গাড়ের ব্যায়াম ও ঘাড় নেড়ে), ভাষার কাজ ছবি পড়া -২, প্রাক গনেত সংখ্যা প্রতীক লেখা-১ পাঠ-৪",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম ৫ সৃজনশীল কাজ: ছড়া- হাট্টিমা টিম টিম। প্রাক পঠন ও প্রাক লিখন - বর্ণ এ,ঐ",VIDEO,"বর্ণমালা পরিচিতি-স্বরবর্ণ এ,ঐ",বিভিন্ন শারীরিক কসরত করতে পারবে। ছোট ছোট গল্প শুনে নিজের মতো বলতে পারবে। ছড়া গান গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাধ্যমে ছড়া কবিতা গল্প উপস্থাপনা করতে পারবে।  ,EP 13_Pre-Primary.png,"EP 13, Pre-Primary.mp4",Yes,13,Hatti Ma Tim Tim,"ব্যায়াম ৫ সৃজনশীল কাজ: ছড়া- হাট্টিমা টিম টিম। প্রাক পঠন ও প্রাক লিখন - বর্ন এ,ঐ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১। ব্যায়াম -৩, ২। সৃজনশীল কাজ ছড়া- খোকন খোকন ডাক পারি , ৩। প্রাক পঠন ও প্রাক লিখন - বর্ণ ও, ঔ পাঠ:৯",VIDEO,"বর্ণমালা পরিচিতি-স্বরবর্ণ ও, ঔ","বিভিন্ন শারীরিক কসরত করতে পারবে। । ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাধ্যমে ছড়া কবিতা গল্প উপস্থাপনা করতে পারবে। ধ্বনির প্রতীক (বর্ণ শনাক্ত করতে পারবে)। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ",EP 14_Pre-Primary.png,"EP 14, Pre-Primary.mp4",Yes,14,Khokon Khokon Dak Pari,"১। ব্যায়াম -৩, ২। সৃজনশীল কাজ ছড়া- খোকন খোকন ডাক পারি , ৩। প্রাক পঠন ও প্রাক লিখন - ভর্ণ ও, ঔ পাঠ:৯",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"গান ৭- আমরা সবাই রাজা ১ম ৬ লাইন প্রাকপঠন ও প্রাকলিখন ড, ঢ পরিবেশ:গ্রীষ্ম, বর্ষা,  শীত",VIDEO," পরিবেশ: গ্রীষ্ম, বর্ষা,  শীত","ছড়া, গান, গল্প বলতে পারবে। ছন্দের তালে তালে স্থানীয় / লোকজ ও অন্যান্য শিশুতোষ গান গাইতে পারবে। ধ্বনির প্রতীক শনাক্ত করতে পারবে। ",EP 15_Pre-Primary.png,"EP 15, Pre-Primary.mp4",Yes,15,Amra Shobai Raja,"গান ৭- আমরা সবাই রাজা ১ম ৬ লাইন প্রাকপঠন ও প্রাকলিখন ড, ঢ ফরিবেশ: গ্রষ্মি, বর্ষা,  শীত",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,ছড়া-৮ (ইঁদুর ছানার ছড়া) পাঠ:৩৭,VIDEO,ছড়া- ইঁদুর ছানার ছড়া ,"ছড়া, গান, গল্প বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাধ্যমে ছড়া কবিতা গল্প উপস্থাপনা করতে পারবে। স্থানীয়, লোকজ ও অন্যান্য শিশুতোষ ছড়া ও কবিতা আবৃত্তি করতে পারবে। ধ্বনির প্রতীক শনাক্ত করতে পারবে। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ",EP 16_Pre-Primary.png,"EP 16, Pre-Primary.mp4",Yes,16,Edur Chana,ছড়া-৮ (ইঁদুর ছানার ছড়া) পাঠ:৩৭,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"প্রাক গঠন ও প্রাক -লিখন ক,খ গান- লাল ঝুটি কাকাতুয়া (সম্পূর্ন) আসার পরিবেশ (গ্রাম ও শহর) পাঠ:১৩",VIDEO, পরিবেশঃ গ্রাম ও শহর,"ধ্বনির প্রতীক (বর্ণ) শনাক্ত করতে পারবে। শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ছন্দের তালে তালে স্থানীয়/ লোকজ ও অন্যান্য শিশুতোষ গান গাইতে পারবে। চারপাশে পরিবেশের বিভিন্ন উপাদান  যেমন- মাটি, পানি, বাতাস, গাছ, ফুল, ফল, মাছ, পাখি, পশু, সূর্য, চাঁদ, যানবাহন ইত্যাদি) চিনতে ও নাম বলতে পারবে।",EP 17_Pre-Primary.png,"EP 17, Pre-Primary.mp4",Yes,17,Lal Jhuti,"প্রাক গঠন ও প্রাক -লিখন ক,খ গান- লাল ঝুটি কাকাতুয়া (সম্পূর্ন) আসার পরিবেশ (গ্রাম ও শহর) পাঠ:১৩",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ভাষার কাজ: প্রাক - পঠন ও প্রাক - লিখন গ, ঘ। প্রাক পঠন - দেখে পার্থক্য বের করা (আমার বই ২৬-২৭)। সৃজনশীল কাজ: ছড়া -আম পাতা জোড়া পাঠ:১৫",VIDEO,"বর্ণমালা পরিচিতি- ব্যঞ্জনবর্ণ গ, ঘ", ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। সংখ্যা প্রতীক ১৭ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ১৭ লিখতে পারবে। ‘১-৯’ পর্যন্ত যেকোনো সংখ্যক অর্ধবাস্তব উপকরণর (ছবির)  সঙ্গে তার সংখ্যা প্রতীক মিলাতে পারবে। ,EP 18_Pre-Primary.png,"EP 18, Pre-Primary.mp4",Yes,18,Aam Pata Jora Jora,"ভাষার কাজ: প্রাক - পঠন ও প্রাক - লিখন গ, ঘ। প্রাক পঠন - দেখে পার্থক্য বের করা (আমার বই ২৬-২৭)। সৃজনশীল কাজ: ছড়া -আম পাতা জোড়া পাঠ:১৫",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"কোথায় আমার মা পাঠ্যাংশ: স্বাস্থ, হরেক রকম খাবার পাঠ-৪৮",VIDEO,কোথায় আমার মা ,"ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। বিভিন্ন প্রকার খাবার (ভাত/রুটি/পাউরুটি/মাছ-মাংস, ডাল, শাক, সবজি, ফল-মূল) আলাদা করতে পারবে।",EP 19_Pre-Primary.png,"EP 19, Pre-Primary.mp4",Yes,19,Kothai Amar Ma,"কোথায় আমার মা পাঠ্যাংশ: স্বাস্থ, হরেক রকম খাবার পাঠ-৪৮",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,সৃজনশীল কাজ: গল্প-খুশি একদিন কুসুমপুরে। স্বাস্থ: হাত ধোয়া,VIDEO, গল্প-খুশি একদিন কুসুমপুরে,"ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। নিওমিত দাঁত মাজতে, হাত ধোতে, চুল আঁচড়াতে, হাঁচি-কাশির সময় মুখ ঢাকতে ও টায়লেট ব্যবহারের পর সাবান বা  ছাই দিয়ে হাত ধোয়ার অভ্যাস গঠন করবে।",EP 20_Pre-Primary.png,"EP 20, Pre-Primary.mp4",Yes,20,Kushir Ekdin Kushumpure,সৃজনশীল কাজ: গল্প-খুশির একদিন কুসুমপুরে। স্বাস্থ: হাত ধোয়া,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১। সৃজনশীল কাজ: গল্প বেড়ানোর একদিন।, ২। প্রাক - গণিত : সংখ্যা প্রতীক লেখা ও পড়া ১৭।, ৩। প্রাক - গণিত: সংখ্যা অনুযায়ী বাকি ছবিগুলো আঁকি (আমার বই, পৃ-১৫০)",VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ১৭,ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। সংখ্যা প্রতীক ১৭ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ১৭ লিখতে পারবে।‘১-৯’ পর্যন্ত যেকোনো সংখ্যক অর্ধবাস্তব উপকরণর (ছবির)  সঙ্গে তার সংখ্যা প্রতীক মিলাতে পারবে। ,EP 21_Pre-Primary.png,"EP 21, Pre-Primary.mp4",Yes,21,Beranor Ekdin,"১। সৃজনশীল কাজ: গল্প বেড়ানোর একদিন।, ২। প্রাক - গণিত : সংখ্যা প্রতীক লেখা ও পড়া ১৭।, ৩। প্রাক - গণিত: সংখ্যা অনুযায়ী বাকি ছবিগুলো আঁকি (আমার বই, পৃ-১৫০)",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,কাক ও শিয়াল বিষয়: প্রাক গণিত পাঠ: ২০,VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ৯,"গল্প – শেয়াল ও কাক
 সংখ্যা প্রতীক লেখা ও পড়া ৯
 প্রযুক্তি -প্রচলিত প্রযুক্তি , তথ্য ও যোগাযোগ প্রযুক্তি",EP 22_Pre-Primary.png,"EP 22, Pre-Primary.mp4",Yes,22,Kak o Shiyal,কাক ও শিয়াল বিষয়: প্রাক গণিত পাঠ: ২০,Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১) সৃজনশীল কাজ: গল্প-লাল পোকার গল্প। ২) সৃজনশীল কাজ: চারু- রঙ চেনা। ৩) প্রাক গণিত: সংখ্যার গুণা, প্রতীক পড়া ও লেখা (৭)। ",VIDEO, গল্প-লাল পোকার গল্প,ছোট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে।  ইচ্ছেমতো ছবি আঁকতে ও রং করতে পারবে। সংখ্যা প্রতীক ৭ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ৭ লিখতে পারবে। ,EP 23_Pre-Primary.png,"EP 23, Pre-Primary.mp4",Yes,23,Lal pokar golpo,"১) সৃজনশীল কাজ: গল্প-লাল পোকার গল্প। ২) সৃজনশীল কাজ: চারু- রঙ চেনা। ৩) প্রাক গণিত: সংখ্যার গুণা, প্রতীক পড়া ও লেখা (৭)। ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১।ব্যায়াম ৪  ২। প্রাক পাঠন- ছবিতে গল্প (হাঁসও মুরগী) ৩। প্রাক গণিত- সংখ্যা গুণা, প্রতীক পড়া ও লেখা (২)।",VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ২,"বিভিন্ন শারীরিক কসরত করতে পারবে। পরিচিত বস্তÍ, ছবি বা দৃশ্যপট সম্পর্কে বলতে পারবে। ছবি/ চিত্রভিত্তিক ধারাবাহিক কাহিনি বা গল্প বলতে (পড়তে) পারবে। সংখ্যা প্রতীক ২ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ২ লিখতে পারবে।  ",EP 24_Pre-Primary.png,"EP 24, Pre-Primary.mp4",Yes,24,Hash o Murgi,"১।ব্যায়ম ৪  ২। প্রাক পাঠন- ছবিতে গল্প (হাঁসও মুরগী) ৩। প্রাক গণিত- সংখ্যা গুণা, প্রতীক পড়া ও লেখা (২)।",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১। ব্যায়াম: ৬, ২। প্রাক - গণিত: সংখ্যা লেখা ও পড়া ৫ , ৩ । সৃজনশীল কাজ: গান ঃ লাল ঝুটি কাকাতুয়া পাঠ : ১২ ",VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ১-৫,বিভিন্ন শারীরিক কসরত করতে পারবে। ১-৫ পযন্ত  সংখ্যা প্রতীক চিনতে ও বলতে পারবে। ছন্দের তালে তালে স্থানীয় বা লোকজ ও অন্যান্য শিশুতোষ গান গাইতে পারবে। ,EP 25_Pre-Primary.png,"EP 25, Pre-Primary.mp4",Yes,25,Lal Jhuti Kakatua,"১। ব্যায়াম: ৬, ২। প্রাক - গণিত: সংখ্যা লেখা ও পড়া ৫ , ৩ । সৃজনশীল কাজ: গান ঃ লাল ঝুটি কাকাতুয়া পাঠ : ১২ ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১) সৃজনশীল কাজ: গল্প-লাল পোকার গল্প। ২) সৃজনশীল কাজ: চারু- রঙ চেনা। ৩) প্রাক গণিত: সংখ্যার গণনা, প্রতীক পড়া ও লেখা (৭)। ",VIDEO, গল্প-লাল পোকার গল্প,ছাট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে।  ইচ্ছেমতো ছবি আঁকতে ও রং করতে পারবে। সংখ্যা প্রতীক ৭ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ৭ লিখতে পারবে। ,EP 26_Pre-Primary.png,"EP 26, Pre-Primary.mp4",Yes,26,Rong Chena,"১) সৃজনশীল কাজ: গল্প-লাল পোকার গল্প। ২) সৃজনশীল কাজ: চারু- রঙ চেনা। ৩) প্রাক গণিত: সংখ্যার গণনা, প্রতীক পড়া ও লেখা (৭)। ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ছড়া - টুইঙ্কেল টুইঙ্কেল প্রাক পঠন ও প্রাকলিখন- “দ,ধ” গোল মদাগ দেই",VIDEO,"বর্ণমালা পরিচিতি-ব্যঞ্জনবর্ণ দ,ধ","শব্দ থেকে বর্ণ শনাক্ত করতে পারবে। ছড়া , গান, গল্প বলতে পারবে। ধ্বণির প্রতীক (বর্ণ) লিখতে পারবে।",EP 27_Pre-Primary.png,"EP 27, Pre-Primary.mp4",Yes,27,Twinkle ,"ছড়া - টুইঙ্কেল টুইঙ্কেল প্রাক পঠন ও প্রাকলিখন- “দ,ধ” গোল মদাগ দেই",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"১। বর্গরাজা ও ত্রিভূজ রানির গল্প , ২। বিভিন্ন রকম আকৃতি।, ৩। সংখ্যা প্রতীক লেখা ও পড়া ",VIDEO, বর্গরাজা ও ত্রিভূজরানির গল্প ,"ছাট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে।  রং আকার - আকৃতি (গোল, তিনকোনা, চারকোনা) অনুযায়ী বিভিন্ন বস্তু শ্রেণিকরণ করতে পারবে। সংখ্যা প্রতীক ১৫ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ১৬ লিখতে পারবে।  ",EP 28_Pre-Primary.png,"EP 28, Pre-Primary.mp4",Yes,28,Borgo Raja,"১। বর্গরাজা ও ত্রিভূজ রানির গল্প , ২। বিভিন্ন রকম আকৃতি।, ৩। সংখ্যা প্রতীক লেখা ও পড়া ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"গান - মেঘের কোলে রোদ হেসেছে ৪ লাইন প্রাক পঠন ও লিখন - হ,ড় পাঠঃ ৩৯",VIDEO,"বর্ণমালা পরিচিতি-ব্যঞ্জনবর্ণ হ,ড়","গান গাইতে পারবে (মেঘের কোলে রোদ হেসেছে ৪ লাইন)। ধ্বনির প্রতীক (বর্ণ) শনাক্ত করতে পারবে। (হ,ড়) ধ্বনির প্রতীক বর্ণ লিখতে পারবে।  ",EP 29_Pre-Primary.png,"EP 29, Pre-Primary.mp4",Yes,29,Megher Kole Rod,"গান - মেঘের কোলে রোদ হেসেছে ৪ লাইন প্রাক পঠন ও লিখন - হ,ড় পাঠঃ ৩৯",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ছড়া- আয়রে আয় টিয়ে, প্রাক গণিত- সংখ্যা প্রতীক লেখা ও পড়া ১৮",VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ১৮,ছড়া বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাধ্যমে ছড়া উপস্থাপনা করতে পারবে। সংখ্যা প্রতীক চিনতে ও বলতে পারবে (১৮)।  সংখ্যা লিখতে পারবে(১৮)।,EP 30_Pre-Primary.png,"EP 30, Pre-Primary.mp4",Yes,30,Ai Re Ai Tiye,"ছড়া- আয়রে আয় টিয়ে, প্রাক গণিত- সংখ্যা প্রতীক লেখা ও পড়া ১৮",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"গল্প - তিনটি ক্ষুর্ধাত ছাগল, সংখ্যা প্রতীক পড়া ও লেখা-১৩ গোল ভরাট করি",VIDEO,গল্প - তিনটি ক্ষুর্ধাত ছাগল,"ছাট ছোট গল্প শুনে নিজের মতো করে বলতে পারবে। অভিনয় ও অঙ্গভঙ্গির মাধ্যমে ছড়া, কবিতা, গল্প উপস্থাপনা করতে পারবে। সংখ্যা প্রতীক ১৩ চিনে বলতে ও লিখতে পারবে। সংখ্যা প্রতীক চিনে গোল ভরাট করতে পারবে।   ",EP 31_Pre-Primary.jpg,"EP 31, Pre-Primary.mp4",Yes,31,Tinti Khudharto Chagol,"গল্প - তিনটি ক্ষুর্ধাত ছাগল, সংখ্যা প্রতীক পড়া ও লেখা-১৩ গোল ভরাত করি",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম-৬, সংখ্যা প্রতীক পড়া ও লেখা ৩, গল্প ইঁদুর ছানার লেজ। ",VIDEO, গল্পঃ ইঁদুর ছানার লেজ,বিভিন্ন শারীরিক কশরত করতে পারবে। ছবি/ চিত্রভিত্তিক ধারাবাহিক কাহিনী বা গল্প শুনে শিক্ষার্থীরা নিজের মতো করে বলতে পারবে। সংখ্যা প্রতীক ৩ চিনতে ও বলতে পারবে।,EP 32_Pre-Primary.jpg,"EP 32, Pre-Primary.mp4",Yes,32,Edur Chanar Lej,"ব্যায়াম-৬, সংখ্যা প্রতীক পড়া ও লেখা ৩, গল্প ইঁদুর ছানার লেজ। ",Amar  Boi,আমার  বই
Pre-Primary,Amar  Boi,"ব্যায়াম-৬ ,  সংখ্যা প্রতীক পড়া ও লেখা ৩ গল্প ইঁদুর ছানার লেজ।",VIDEO,প্রাক-গাণিতিক ধারণা সংখ্যা প্রতীক ৩,বিভিন্ন শারীরিক কশরত করতে পারবে। ছবি/ চিত্রভিত্তিক ধারাবাহিক কাহিনী বা গল্প শুনে শিক্ষার্থীরা নিজের মতো করে বলতে পারবে। সংখ্যা প্রতীক ৩ চিনতে ও বলতে পারবে। সংখ্যা প্রতীক ৩ লিখতে পারবে।,EP 33_Pre-Primary.jpg,"EP 33, Pre-Primary.mp4",Yes,33,Edur Chanar Lej 2,"ব্যায়াম-৬ ,  সংখ্যা প্রতীক পড়া ও লেখা ৩ গল্প ইঁদুর ছানার লেজ।",Amar  Boi,আমার  বই
